"machinetypeid","machinetypecode","machinetypename","dataitemid","name","description","data_type","min_value","max_value","not_allowed_values","allowed_values","unit","true_label","false_label","center","success_key","is_violation_enabled"
3,"003",Dikey Pres,pump_2_suction_valve_ok,Pompa 2 Emiş Valfi Durumu,Pompa 2 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,OK,Arızalı,,TRUE,true
3,"003",Dikey Pres,pump_3_suction_valve_ok,Pompa 3 Emiş Valfi Durumu,Pompa 3 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,OK,Arızalı,,TRUE,true
3,"003",Dikey Pres,pump_4_suction_valve_ok,Pompa 4 Emiş Valfi Durumu,Pompa 4 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,OK,Arızalı,,TRUE,true
7,"007",Fanuc CNC,alarm_13,Alarm 13,Alarm 13 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_14,Alarm 14,Alarm 14 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_15,Alarm 15,Alarm 15 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_16,Alarm 16,Alarm 16 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_17,Alarm 17,Alarm 17 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_18,Alarm 18,Alarm 18 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_19,Alarm 19,Alarm 19 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_2,Alarm 2,Alarm 2 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_20,Alarm 20,Alarm 20 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_21,Alarm 21,Alarm 21 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_22,Alarm 22,Alarm 22 durumunu ifade eder,string,,,,,,,,,,false
7,"007",Fanuc CNC,alarm_3,Alarm 3,Alarm 3 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_1,Alarm 1,Alarm 1 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_10,Alarm 10,Alarm 10 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_11,Alarm 11,Alarm 11 durumunu ifade eder,string,,,,,,,,,,false
5,"005",Indüksiyon,current,Akım,,number,,,,,A,,,,,false
4,"004",Yatay Pres,alarm_12,Alarm 12,Alarm 12 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_13,Alarm 13,Alarm 13 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_14,Alarm 14,Alarm 14 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_15,Alarm 15,Alarm 15 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_16,Alarm 16,Alarm 16 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,alarm_17,Alarm 17,Alarm 17 durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,pilot_pump_filter_2_dirty,Pilot Pompa Filtre 2 Kirlilik,Pilot pompa filtre 2 kirlilik durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,prefill_punch_active,Prefill Punch Active,Ön dolum zımbasının aktif durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,press_up_down,Press Position,Pres mekanizmasının yukarı veya aşağı konumunu ifade eder,number,,,,,,,,,,false
4,"004",Yatay Pres,pressure_line_filter_1_dirty,Basınç Hattı Filtre 1 Kirlilik,Basınç hattı filtre 1 kirlilik durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,pressure_line_filter_2_dirty,Basınç Hattı Filtre 2 Kirlilik,Basınç hattı filtre 2 kirlilik durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,pressure_line_filter_3_dirty,Basınç Hattı Filtre 3 Kirlilik,Basınç hattı filtre 3 kirlilik durumunu ifade eder,boolean,,,,,,,,,,false
3,"003",Dikey Pres,pilot_pump_filter_1_dirty,Pilot Pompa Filtre 1 Kirlilik,Pilot pompa filtre 1 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
5,"005",Indüksiyon,power_percent,Güç (Yüzde),,number,0.0000,100.0000,,,%,,,,,false
5,"005",Indüksiyon,power,Güç,,number,,,,,kW,,,,,false
1,"001",Testere,cut_length,Kesilecek Uzunluk,Kesim uzunluğunu ifade eder,number,,,,,mm,,,,,false
1,"001",Testere,target_cut_size,Kesilecek Ebat,Hedeflenen kesim ölçüsünü ifade eder,number,,,,,∅,,,,,false
4,"004",Yatay Pres,status,Machine Status,Makinenin genel çalışma durumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,stripper_up_down,Stripper Status,Sıyırıcı mekanizmasının yukarı veya aşağı konumunu ifade eder,string,,,,,,,,,,false
4,"004",Yatay Pres,vertical_infeed_speed,Dikey Pres İşe Giriş Hızı,Dikey besleme hızını ifade eder,number,,,,,,,,,,false
5,"005",Indüksiyon,mode,Makine Çalışma Modu,Makinenin çalışma modunu ifade eder,number,,,,,,,,,,false
5,"005",Indüksiyon,alarm_9,Alarm 9,Alarm 9 durumunu ifade eder,string,,,,,,,,,,false
5,"005",Indüksiyon,alarm_5,Alarm 5,Alarm 5 durumunu ifade eder,string,,,,,,,,,,false
5,"005",Indüksiyon,alarm_19,Alarm 19,Alarm 19 durumunu ifade eder,string,,,,,,,,,,false
1,"001",Testere,cut_time,Kesim Süresi,Kesim süresini ifade eder,number,0.0000,45.0000,,,sn,,,,,true
1,"001",Testere,main_motor_current,Ana Motor Akımı,Ana motorun çektiği akımı ifade eder,number,0.0000,23.0000,,,A,,,,,true
1,"001",Testere,saw_speed,Testere Hızı,Testere hızını ifade eder,number,0.0000,90.0000,,,RPM,,,,,true
3,"003",Dikey Pres,punch_active,Punch Active,Zımba mekanizmasının aktif olup olmadığını ifade eder,boolean,,,,,,Aktif,Aktif Değil,,TRUE,false
1,"001",Testere,alarm_9,Alarm 9,Alarm 9 durumunu ifade eder,string,,,,,,,,,,false
1,"001",Testere,cut_count,Kesilecek Adet,Kesim adedini ifade eder,number,,,,,,,,,,false
