"machinetypeid","machinetypecode","machinetypename","dataitemid","name","description","data_type","min_value","max_value","not_allowed_values","allowed_values","unit","true_label","false_label","center","success_key","is_violation_enabled"
4,"004",Yatay Pres,pump_4_suction_valve_ok,Pompa 4 Emiş Valfi Durumu,Pompa 4 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,pump_5_suction_valve_ok,Pompa 5 Emiş Valfi Durumu,Pompa 5 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,return_line_filter_1_dirty,Geri Dönüş Hattı Filtre 1 Kirlilik,Geri dönüş hattı filtre 1 kirlilik durumunu ifade eder,boolean,,,,,,,,,,false
4,"004",Yatay Pres,return_line_filter_2_dirty,Geri Dönüş Hattı Filtre 2 Kirlilik,Geri dönüş hattı filtre 2 kirlilik durumunu ifade eder,boolean,,,,,,,,,,false
3,"003",Dikey Pres,part_count,Part Count,Üretilen toplam parça sayısını ifade eder,number,,,,,,,,,,false
3,"003",Dikey Pres,prefill_punch_active,Prefill Punch Active,Ön dolum zımbasının aktif durumunu ifade eder,boolean,,,,,,,,,,false
3,"003",Dikey Pres,press_up_down,Press Position,Pres mekanizmasının yukarı veya aşağı konumunu ifade eder,number,,,,,,,,,,false
3,"003",Dikey Pres,pilot_pump_filter_2_dirty,Pilot Pompa Filtre 2 Kirlilik,Pilot pompa filtre 2 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,pressure_line_filter_1_dirty,Basınç Hattı Filtre 1 Kirlilik,Basınç hattı filtre 1 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,pressure_line_filter_2_dirty,Basınç Hattı Filtre 2 Kirlilik,Basınç hattı filtre 2 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,pressure_line_filter_3_dirty,Basınç Hattı Filtre 3 Kirlilik,Basınç hattı filtre 3 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,pressure_line_filter_4_dirty,Basınç Hattı Filtre 4 Kirlilik,Basınç hattı filtre 4 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,pressure_line_filter_5_dirty,Basınç Hattı Filtre 5 Kirlilik,Basınç hattı filtre 5 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,return_line_filter_1_dirty,Geri Dönüş Hattı Filtre 1 Kirlilik,Geri dönüş hattı filtre 1 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,return_line_filter_2_dirty,Geri Dönüş Hattı Filtre 2 Kirlilik,Geri dönüş hattı filtre 2 kirlilik durumunu ifade eder,boolean,,,,,,Kirli,Temiz,,FALSE,true
3,"003",Dikey Pres,oil_tank_level_low,Yağ Tankı Seviyesi,Yağ tankı seviyesinin düşük olup olmadığını ifade eder,boolean,,,,,,Düşük,Normal,,FALSE,true
3,"003",Dikey Pres,pilot_pump_active,Pilot Pompası,Pilot pompanın aktif durumunu ifade eder,boolean,,,,,,Aktif,Pasif,,TRUE,true
