machine_id,window_start,_source,main_pressure__fault_count,main_pressure__value_mean,main_pressure__value_max,main_pressure__over_ratio,horizontal_press_pressure__fault_count,horizontal_press_pressure__value_mean,horizontal_press_pressure__value_max,horizontal_press_pressure__over_ratio,label,binary_label
HPR001,2026-02-27 16:00:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 16:10:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,FAULT,1
HPR001,2026-02-27 16:20:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,NORMAL,0
HPR001,2026-02-27 16:30:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 16:40:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 16:50:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 17:00:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 17:10:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 17:20:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,FAULT,1
HPR001,2026-02-27 17:30:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 17:40:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 17:50:00+00:00,fault,1,111.197914,111.197914,1.0108901272727273,0,0.0,0.0,0.0,FAULT,1
HPR001,2026-02-27 18:00:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
HPR001,2026-02-27 18:10:00+00:00,fault,5,133.000578,140.46585,1.2090961636363635,0,0.0,0.0,0.0,FAULT,1
HPR001,2026-02-27 18:20:00+00:00,fault,1,111.15451,111.15451,1.0104955454545455,0,0.0,0.0,0.0,FAULT,1
HPR001,2026-02-27 18:30:00+00:00,fault,0,0.0,0.0,0.0,0,0.0,0.0,0.0,PRE-FAULT,1
